Player Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   Ih4   15   RS vWIL  L(89-101)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Dg3   15   RS vWIL  L(89-101)  0  1  2221   8  17   5   9   3   8   0   0   0   1   4   5   1   4  2  5  7   4  0  0  19   8   0 -15  79  94   25    8   0   0   0   0  A
   Jc4   15   RS vWIL  L(89-101)  0  0   179   1   1   1   1   0   0   1   2   0   0   1   1   0   0  0  0  0   1  0  1   3   3   0   3  10   7    3    1   0   0   1   0  A
   Ec2   15   RS vWIL  L(89-101)  0  0  1200   5  11   5  10   0   1   0   0   0   0   5   7   0   3  2  1  3   0  1  0  10  10   0  -2  50  52   11    0   1   0   0   0  A
   Ej5   15   RS vWIL  L(89-101)  0  1   600   0   4   0   2   0   2   0   0   0   0   0   1   0   1  1  0  1   2  0  0   0   0   0  -8  14  22   11    7   0   0   0   0  A
   Jg1   15   RS vWIL  L(89-101)  0  0   179   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   3  10   7    0    0   0   0   0   0  A
   Ia2   15   RS vWIL  L(89-101)  0  1  1147   6  11   6  10   0   1   2   2   1   1   4   6   2   4  1  4  5   1  1  1  14  10   2 -17  31  48   13    1   1   0   1   0  A
   Ie9   21   RS @BRE  W(106-97)  0  1   943   4   7   4   7   0   0   0   0   0   0   2   3   2   4  0  6  6   0  4  0   8   4   2  -2  43  45    7    0   4   0   0   0  A
   He5   21   RS @BRE  W(106-97)  0  0  1457   2   5   0   2   2   3   4   5   0   0   0   0   0   2  2  4  6   2  0  2  10   1   1  11  63  52    9    2   0   0   1   1  A
   Hi3   21   RS @BRE  W(106-97)  0  0   218   1   1   1   1   0   0   0   0   0   0   1   1   0   0  0  1  1   2  0  0   2   2   2   9  16   7    4    3   0   0   0   0  A
  Kj10   21   RS @BRE  W(106-97)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ga5   21   RS @BRE  W(106-97)  0  1   941   3   4   3   4   0   0   0   2   0   0   1   2   2   2  0  3  3   0  3  1   6   2   4   0  42  42    5    0   2   1   1   0  A
   Fa7   21   RS @BRE  W(106-97)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ih4   21   RS @BRE  W(106-97)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Dg3   21   RS @BRE  W(106-97)  0  1  2400  11  20   6   9   5  11   7   7   0   0   3   4   3   5  1  3  4   9  2  3  34   8   0   9 106  97   37   14   0   2   1   2  A
   Jc4   21   RS @BRE  W(106-97)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ec2   21   RS @BRE  W(106-97)  0  1  2400  10  14  10  14   0   0   2   2   0   0   8  10   2   4  4  7 11   0  3  1  22  18   0   9 106  97   15    0   2   1   1   0  A
   Ej5   21   RS @BRE  W(106-97)  0  1  2182   2  11   2   8   0   3   2   2   0   0   0   1   2   7  1  0  1  21  3  1   6   0   0   0  90  90   46   34   2   1   0   1  A
   Jg1   21   RS @BRE  W(106-97)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ia2   21   RS @BRE  W(106-97)  0  0  1459   9  12   9  12   0   0   0   0   0   0   7   9   2   3  1  6  7   0  3  0  18  14   4   9  64  55   12    0   3   0   0   0  A
   Ie9   23   RS vCRO L(119-120)  1  1  2446  10  18   7  13   3   5   2   2   0   0   4   8   3   5  0  4  4   1  2  1  25  10   0   4 108 104   23    4   1   1   1   0  A
   He5   23   RS vCRO L(119-120)  1  0   585   0   1   0   1   0   0   3   3   0   0   0   0   0   1  0  0  0   0  1  1   3   0   0   0  36  36    2    0   0   1   0   1  A
   Hi3   23   RS vCRO L(119-120)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
