Year Game Type Opp.     Result OT Ties LChgs FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC Pts InP 2CP Poss Tchs Pass IFC PFC BPts MaxL MUPt oFGM oFGA o2PM o2PA o3PM o3PA oFTM oFTA oPBM oPBA oInM oInA o2JM o2JA oOR oDF oTR oAst oFC oPts oInP o2CP oPoss oTchs oPass oIFC oPFC oBPts oMaxL oMUPt PeriodScores
  11   47   RS vBRE   L(86-94)  0    4     7  35  81  30  67   5  14  11  16   0   0  23  46   7  21  9 38 47  24 11  86  56   7   89  147   58   3   8   14    5    7   34   81   25   57    9   24   17   23    1    2   21   46    4   11  12  41  53   21   8   94   48   17    92   143    51    7    1    11    10     8 24-28,23-21,16-21,23-24
  11   51   RS @WIL  W(107-89)  0    8     5  39  72  33  58   6  14  23  26   2   2  24  40   9  18  9 32 41  21  5 107  55  15   83  129   46   5   0   14   25    9   37   83   30   64    7   19    8   10    3    4   23   43    7   21  15  27  42   21  11   89   54   15    88   134    46    5    6    40     2     7 29-23,22-18,33-20,23-28
  11   53   RS @BRE  W(101-86)  0    2     4  40  76  34  56   6  20  15  20   6   6  25  34   9  22 10 37 47  22 13 101  60  16   85  137   52  10   3   17   18   10   31   72   22   46    9   26   15   26    2    4   20   37    2    9  10  29  39   16   9   86   51   12    85   126    41    7    2    11     6     8 20-26,35-20,21-21,25-19
  11   55   RS vCRO   W(95-89)  0   11     6  37  77  32  63   5  14  16  20   1   3  21  40  11  23  8 34 42  22  9  95  45   4   86  131   45   5   4   15    7   10   36   76   31   60    5   16   12   19    2    2   17   28   14   32   8  35  43   24   9   89   41    9    85   147    62    3    6    13    11     8 24-26,21-23,18-20,32-20
  11   57   RS @CRO  W(110-76)  0    0     0  36  67  28  52   8  15  30  36   3   3  13  30  15  22 14 37 51  22  7 110  39  21   83  122   39   1   6   29   36   15   27   75   21   55    6   20   16   18    1    2   12   25    9   30  13  19  32   16  16   76   25   16    82   131    49    9    7    38     0     7 31-13,26-23,30-18,23-22
  11   61   RS @BRE   L(83-99)  0    4    11  33  77  27  62   6  15  11  17   2   4  20  36   7  26 13 27 40  18 11  83  47   8   85  132   47   9   2   10    4    7   38   66   29   45    9   21   14   24    2    3   24   33    5   12   6  33  39   18   8   99   60    8    77   114    37    6    2    12    16     8 24-26,16-21,26-25,17-27
  11   63   RS vWIL   W(99-81)  0    0     0  35  68  31  50   4  18  25  28   0   0  16  26  15  24  6 37 43  23 12  99  39   9   80  127   47   9   3   25   25    7   29   78   26   63    3   15   20   26    5    5   19   38    7   25  16  28  44   12  12   81   51   22    90   133    43    4    8    22     0     8 29-15,29-18,14-24,27-24
  11   71   RS vHAR  W(105-98)  1    8     2  39  77  34  63   5  14  22  32   0   1  22  40  12  23  7 40 47  20  9 105  54   9   92  146   54   6   3    0   14    9   36   94   29   63    7   31   19   20    3    5   22   39    7   24  18  36  54   18  15   98   55   23   103   152    49    7    8    30     3     7 25-19,22-22,23-28,22-23,13-6
  11   72   RS @KEN L(105-108)  0    2     0  40  84  30  67  10  17  15  17   1   5  21  41   9  26 15 32 47  21 18 105  50  13   92  143   51   8  10    7    0    7   33   73   20   42   13   31   29   39    2    2   14   24    6   18  12  30  42   16   8  108   40   19    91   132    41    5    3     0    12     5 20-29,26-22,20-19,39-38
  11   74   RS @LAT W(104-101)  0    4     7  34  69  27  56   7  13  29  37   1   2  16  33  11  23  5 36 41  24  6 104  48  10   86  140   54   4   2    3    8   10   43   85   37   65    6   20    9   12    4    5   31   49    6   16   8  33  41   25  17  101   68   14    91   138    47   11    6    28    13     9 16-26,28-26,27-23,33-26
  11   76   RS @RAY W(107-100)  0   13    13  43  81  37  65   6  16  15  20   1   3  24  37  13  28 15 29 44  24  9 107  52  15   90  141   51   5   4    5   13    9   39   80   34   56    5   24   17   19    5    6   27   42    7   14  13  24  37   16   9  100   64   20    89   128    39    4    5    12     7     5 25-22,21-24,31-25,30-29
  11   79   RS vRAY  W(105-84)  0    0     0  45  79  40  67   5  12  10  13   2   3  26  39  14  28  7 35 42  34  6 105  58  11   85  143   58   4   2   13   25    6   37   85   36   69    1   16    9   13    3    5   28   49    8   20  14  28  42   22   6   84   61   13    91   140    49    4    2    16     0     6 35-21,24-14,21-27,25-22
