Team FGM FGA FG% 2PM 2PA 2P% 3PM 3PA 3P% FTM FTA FT% OReb DReb TReb Assists Fouls Points Opp FGM FGA FG% 2PM 2PA 2P% 3PM 3PA 3P% FTM FTA FT% OReb DReb TReb Assists Fouls Points
Wilson 1070 2289 46.7 899 1806 49.8 171 483 35.4 401 506 79.2 340 913 1253 589 266 2712 -- 1071 2274 47.1 834 1643 50.8 237 631 37.6 424 587 72.2 362 932 1294 598 230 2803
Latymer 1059 2306 45.9 889 1837 48.4 170 469 36.2 411 591 69.5 375 903 1278 602 266 2699 -- 1090 2285 47.7 830 1627 51.0 260 658 39.5 474 614 77.2 355 959 1314 592 272 2914
Rays 1088 2357 46.2 784 1554 50.5 304 803 37.9 403 522 77.2 362 877 1239 618 300 2883 -- 1124 2256 49.8 907 1708 53.1 217 548 39.6 526 655 80.3 321 960 1281 626 231 2991
Hartford 1080 2268 47.6 837 1572 53.2 243 696 34.9 483 612 78.9 341 1001 1342 559 236 2886 -- 1010 2318 43.6 816 1748 46.7 194 570 34.0 397 532 74.6 364 905 1269 608 271 2611
Queens 1115 2280 48.9 913 1765 51.7 202 515 39.2 460 582 79.0 323 992 1315 651 238 2892 -- 1059 2307 45.9 829 1645 50.4 230 662 34.7 408 533 76.5 317 901 1218 584 270 2756
Cromwell 999 2241 44.6 846 1796 47.1 153 445 34.4 467 607 76.9 284 863 1147 587 293 2618 -- 1139 2236 50.9 890 1634 54.5 249 602 41.4 521 669 77.9 299 1028 1327 618 275 3048
Breton 1116 2252 49.6 898 1651 54.4 218 601 36.3 422 578 73.0 329 936 1265 641 257 2872 -- 1057 2282 46.3 847 1740 48.7 210 542 38.7 444 579 76.7 353 872 1225 571 259 2768
Kendal 1086 2299 47.2 757 1515 50.0 329 784 42.0 497 640 77.7 365 981 1346 584 217 2998 -- 1063 2334 45.5 870 1751 49.7 193 583 33.1 350 469 74.6 348 909 1257 634 265 2669
