Team FGM FGA FG% 2PM 2PA 2P% 3PM 3PA 3P% FTM FTA FT% OReb DReb TReb Assists Fouls Points Opp FGM FGA FG% 2PM 2PA 2P% 3PM 3PA 3P% FTM FTA FT% OReb DReb TReb Assists Fouls Points
Wilson 1140 2371 48.1 942 1795 52.5 198 576 34.4 420 540 77.8 393 993 1386 567 239 2898 -- 1041 2283 45.6 809 1681 48.1 232 602 38.5 419 547 76.6 305 897 1202 601 243 2733
Rays 1025 2305 44.5 707 1527 46.3 318 778 40.9 392 522 75.1 310 921 1231 659 306 2760 -- 1072 2258 47.5 866 1679 51.6 206 579 35.6 504 670 75.2 347 1034 1381 569 226 2854
Hartford 1007 2295 43.9 764 1654 46.2 243 641 37.9 418 536 78.0 317 874 1191 518 311 2675 -- 1109 2249 49.3 887 1661 53.4 222 588 37.8 509 684 74.4 346 1024 1370 571 238 2949
Queens 1110 2304 48.2 842 1605 52.5 268 699 38.3 451 576 78.3 368 948 1316 560 205 2939 -- 1092 2330 46.9 884 1732 51.0 208 598 34.8 337 440 76.6 343 880 1223 567 257 2729
Cromwell 1109 2285 48.5 917 1687 54.4 192 598 32.1 534 634 84.2 311 985 1296 608 238 2944 -- 1115 2359 47.3 886 1778 49.8 229 581 39.4 381 536 71.1 330 917 1247 601 295 2840
Latymer 1135 2277 49.8 969 1825 53.1 166 452 36.7 474 675 70.2 383 1013 1396 537 197 2910 -- 1044 2329 44.8 826 1669 49.5 218 660 33.0 346 437 79.2 319 855 1174 581 309 2652
Breton 1024 2249 45.5 807 1660 48.6 217 589 36.8 403 552 73.0 311 888 1199 613 294 2668 -- 1090 2279 47.8 855 1647 51.9 235 632 37.2 505 660 76.5 370 987 1357 593 253 2920
Kendal 1074 2283 47.0 889 1757 50.6 185 526 35.2 374 545 68.6 316 939 1255 578 278 2707 -- 1061 2282 46.5 824 1663 49.5 237 619 38.3 465 606 76.7 349 967 1316 557 247 2824
