Team FGM FGA FG% 2PM 2PA 2P% 3PM 3PA 3P% FTM FTA FT% OReb DReb TReb Assists Fouls Points Opp FGM FGA FG% 2PM 2PA 2P% 3PM 3PA 3P% FTM FTA FT% OReb DReb TReb Assists Fouls Points
Wilson 1107 2304 48.0 918 1750 52.5 189 554 34.1 431 545 79.1 362 943 1305 436 247 2834 -- 1055 2251 46.9 792 1593 49.7 263 658 40.0 434 558 77.8 298 886 1184 586 254 2807
Latymer 1097 2293 47.8 859 1674 51.3 238 619 38.4 418 560 74.6 378 967 1345 606 223 2850 -- 1032 2307 44.7 798 1671 47.8 234 636 36.8 399 512 77.9 357 880 1237 575 254 2697
Rays 983 2324 42.3 744 1625 45.8 239 699 34.2 364 497 73.2 377 870 1247 588 269 2569 -- 1093 2253 48.5 884 1696 52.1 209 557 37.5 461 596 77.3 353 1018 1371 569 221 2856
Hartford 1042 2274 45.8 788 1582 49.8 254 692 36.7 474 611 77.6 313 938 1251 514 256 2812 -- 1082 2294 47.2 807 1615 50.0 275 679 40.5 440 574 76.7 333 985 1318 559 263 2879
Queens 1074 2260 47.5 792 1598 49.6 282 662 42.6 449 584 76.9 300 981 1281 620 272 2879 -- 1027 2285 44.9 826 1675 49.3 201 610 33.0 449 598 75.1 340 942 1282 550 257 2704
Cromwell 1070 2287 46.8 876 1687 51.9 194 600 32.3 466 552 84.4 334 1043 1377 502 224 2800 -- 1006 2312 43.5 764 1686 45.3 242 626 38.7 386 514 75.1 330 933 1263 501 256 2640
Breton 1058 2242 47.2 847 1670 50.7 211 572 36.9 407 557 73.1 287 930 1217 618 264 2734 -- 1061 2290 46.3 836 1685 49.6 225 605 37.2 447 581 76.9 360 960 1320 568 252 2794
Kendal 1008 2314 43.6 751 1678 44.8 257 636 40.4 439 580 75.7 374 926 1300 570 253 2712 -- 1083 2306 47.0 868 1643 52.8 215 663 32.4 432 553 78.1 354 994 1348 546 251 2813
