Team FGM FGA FG% 2PM 2PA 2P% 3PM 3PA 3P% FTM FTA FT% OReb DReb TReb Assists Fouls Points Opp FGM FGA FG% 2PM 2PA 2P% 3PM 3PA 3P% FTM FTA FT% OReb DReb TReb Assists Fouls Points
Wilson 1108 2278 48.6 916 1786 51.3 192 492 39.0 393 509 77.2 340 815 1155 630 265 2801 -- 1137 2235 50.9 887 1661 53.4 250 574 43.6 478 603 79.3 339 880 1219 675 233 3002
Rays 1144 2289 50.0 832 1550 53.7 312 739 42.2 391 496 78.8 308 907 1215 677 300 2991 -- 1065 2232 47.7 864 1667 51.8 201 565 35.6 489 668 73.2 336 891 1227 591 220 2820
Hartford 1040 2249 46.2 821 1649 49.8 219 600 36.5 419 528 79.4 293 947 1240 609 260 2718 -- 1031 2289 45.0 831 1704 48.8 200 585 34.2 455 577 78.9 364 962 1326 610 232 2717
Kendal 1071 2287 46.8 790 1576 50.1 281 711 39.5 441 548 80.5 354 904 1258 585 216 2864 -- 1100 2297 47.9 871 1725 50.5 229 572 40.0 365 481 75.9 340 911 1251 665 235 2794
Cromwell 981 2245 43.7 788 1670 47.2 193 575 33.6 519 673 77.1 378 860 1238 439 256 2674 -- 1112 2216 50.2 881 1638 53.8 231 578 40.0 444 575 77.2 299 954 1253 663 301 2899
Latymer 1091 2270 48.1 920 1826 50.4 171 444 38.5 403 583 69.1 360 922 1282 606 281 2756 -- 1048 2220 47.2 818 1609 50.8 230 611 37.6 494 635 77.8 319 904 1223 551 267 2820
Breton 1110 2177 51.0 892 1578 56.5 218 599 36.4 478 677 70.6 303 942 1245 659 241 2916 -- 1062 2309 46.0 817 1662 49.2 245 647 37.9 408 536 76.1 366 842 1208 589 306 2777
Queens 1088 2313 47.0 849 1711 49.6 239 602 39.7 438 530 82.6 346 968 1314 766 215 2853 -- 1078 2310 46.7 839 1680 49.9 239 630 37.9 349 469 74.4 319 921 1240 627 240 2744
