Player Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   Gj1   22   RS @HAR   L(92-99)  0  1  2161   6  13   4   6   2   7  10  11   0   1   1   2   3   4  2  1  3  10  2  4  24   2   0  -7  82  89   39   22   1   1   0   4  A
  Ga11   22   RS @HAR   L(92-99)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Jc7   22   RS @HAR   L(92-99)  0  1  2194  11  21  11  19   0   2   0   2   0   1   9  12   2   7  3  5  8   0  1  1  22  18   4  -3  88  91   23    1   1   0   1   0  A
   Da1   22   RS @HAR   L(92-99)  0  1  1986   9  14   9  14   0   0   0   2   1   1   8  10   1   4  4 10 14   0  2  1  18  16   4  -6  75  81   16    1   2   0   1   0  A
   Ej4   22   RS @HAR   L(92-99)  0  0   770   2   8   1   4   1   4   0   0   0   1   0   3   1   1  1  4  5   1  0  0   5   0   0  -6  23  29   15    7   0   0   0   0  A
   Ka8   22   RS @HAR   L(92-99)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Hb1   22   RS @HAR   L(92-99)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ge2   24   RS vRAY W(118-114)  1  1  2246  11  23   9  17   2   6   6   6   1   2   7  14   2   3  4  3  7   0  1  3  30  16   6  12 102  90   26    0   1   0   1   2  A
   Ii6   24   RS vRAY W(118-114)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Jc3   24   RS vRAY W(118-114)  1  0  1960   5   8   5   8   0   0   0   0   0   0   4   5   1   3  0  7  7   2  3  0  10   8   0  -2  84  86   10    2   2   1   0   0  A
   Kg9   24   RS vRAY W(118-114)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Eh1   24   RS vRAY W(118-114)  1  1  2700  10  23   3   5   7  18   6   8   0   0   1   3   2   2  1  5  6   5  0  3  33   2   0   4 118 114   37   11   0   0   0   3  A
   Ff2   24   RS vRAY W(118-114)  1  0   454   1   6   0   2   1   4   0   0   0   0   0   0   0   2  0  1  1   0  1  0   3   0   0  -8  16  24    6    0   0   1   0   0  A
   Gj1   24   RS vRAY W(118-114)  1  1  2700   6  13   2   4   4   9   2   2   0   0   0   2   2   2  1  8  9  16  1  1  18   0   3   4 118 114   43   29   0   1   0   1  A
  Ga11   24   RS vRAY W(118-114)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Jc7   24   RS vRAY W(118-114)  1  1  2700   6   9   6   9   0   0   4   6   0   0   5   7   1   2  2 12 14   0  0  3  16  14   0   4 118 114   12    0   0   0   3   0  A
   Da1   24   RS vRAY W(118-114)  1  1   740   4   6   4   6   0   0   0   0   1   1   2   3   2   3  1  1  2   0  4  0   8   4   4   6  34  28    6    0   4   0   0   0  A
   Ej4   24   RS vRAY W(118-114)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ka8   24   RS vRAY W(118-114)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Hb1   24   RS vRAY W(118-114)  1  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Ge2   27   RS @WIL  L(79-113)  0  1  1451   3  11   3   9   0   2   0   0   0   0   2   4   1   5  1  2  3   1  1  0   6   4   0 -31  44  75   13    2   0   1   0   0  A
   Ii6   27   RS @WIL  L(79-113)  0  0   779   1   5   1   4   0   1   0   0   0   0   1   3   0   1  0  3  3   4  1  0   2   2   0  -7  27  34   17   12   1   0   0   0  A
   Jc3   27   RS @WIL  L(79-113)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Kg9   27   RS @WIL  L(79-113)  0  0   949   1   5   1   3   0   2   2   2   1   1   1   1   0   2  1  1  2   1  0  1   4   4   2  -3  35  38    8    2   0   0   1   0  A
   Eh1   27   RS @WIL  L(79-113)  0  1   851   0   6   0   1   0   5   2   3   0   0   0   0   0   1  0  0  0   0  0  1   2   0   0 -23  25  48   10    3   0   0   0   1  A
   Ff2   27   RS @WIL  L(79-113)  0  0   906   5   7   2   4   3   3   0   0   1   2   1   2   1   2  3  1  4   0  2  0  13   2   2 -10  29  39    8    1   2   0   0   0  A
   Gj1   27   RS @WIL  L(79-113)  0  1  1451   7  11   3   6   4   5   1   2   1   1   2   5   1   1  1  2  3   5  1  1  19   4   2 -31  44  75   24   12   0   1   0   1  A
  Ga11   27   RS @WIL  L(79-113)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  I
   Jc7   27   RS @WIL  L(79-113)  0  1   898   2   3   2   2   0   1   0   2   0   0   2   2   0   0  0  3  3   0  3  1   4   4   0  -9  33  42    5    1   2   1   1   0  A
   Da1   27   RS @WIL  L(79-113)  0  1  1451   0   4   0   3   0   1   3   4   0   1   0   3   0   0  2  2  4   0  1  2   3   1   0 -31  44  75    8    2   1   0   1   1  A
   Ej4   27   RS @WIL  L(79-113)  0  0   949   2   9   0   2   2   7   0   0   0   0   0   1   0   1  0  0  0   1  2  0   6   0   3  -6  35  41   16    7   2   0   0   0  A
   Ka8   27   RS @WIL  L(79-113)  0  0  1366   4  12   4  12   0   0   0   2   1   2   4  10   0   2  5  7 12   0  1  1   8   8   2 -16  44  60   13    0   1   0   1   0  A
   Hb1   27   RS @WIL  L(79-113)  0  0   949   1   6   0   3   1   3   9  10   0   0   0   2   0   1  1  2  3   0  1  4  12   4   5  -3  35  38   10    0   1   0   2   2  A
