Year Team Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
  11  LAT    6   RS vLAT   W(96-65)  0  1  1800   6   7   6   7   0   0   1   2   0   0   6   7   0   0  2 11 13   0  2  1  13  13   0  29  77  48    8    0   2   0   1   0  A
  11  LAT   10   RS @LAT   W(90-86)  0  1  2400   7  11   7  11   0   0   5   8   1   1   5   7   2   4  4  8 12   0  0  4  19  15   2   4  90  86   16    1   0   0   4   0  A
  11  RAY   14   RS vRAY   L(78-91)  0  1  2400   8  10   8  10   0   0   1   2   0   0   5   6   3   4  2 10 12   0  0  1  17  11   2 -13  78  91   11    0   0   0   1   0  A
  11  KEN   16   RS @KEN  L(85-101)  0  1  1757   2   7   2   7   0   0   4   6   0   1   2   6   0   1  3  7 10   0  0  3   8   8   1 -19  61  80   10    0   0   0   3   0  A
  11  LAT   18   RS @LAT   L(88-91)  0  1  2400   7  16   7  13   0   3   4   4   0   0   7  11   0   2  4  9 13   1  2  2  18  18   0  -3  88  91   21    3   2   0   2   0  A
  11  RAY   20   RS @RAY L(105-112)  1  1  2700   9  11   9  10   0   1   0   0   2   2   9  10   0   0  3 13 16   1  0  0  18  18   4  -7 105 112   13    2   0   0   0   0  A
  11  KEN   22   RS vKEN   W(99-92)  0  1  2400  12  21  12  20   0   1   6   8   0   0   9  17   3   3  4  9 13   0  0  4  30  24   6   7  99  92   25    0   0   0   4   0  A
  11  CRO   25   RS @CRO  W(101-92)  0  1  2400   8  14   8  14   0   0   5   6   1   1   7  11   1   3  2  7  9   0  0  3  21  19   3   9 101  92   19    2   0   0   3   0  A
