Game Type Conf-Type Home Away   Score OT       HomeRecord      H-L10 H-Streak H-Conf-TypeRecord       AwayRecord      A-L10 A-Conf-TypeRecord A-Streak        SeasonH2H   H2HL10 H2HStreak           AllTimeH2H 
  24   RS     Intra  KEN  RAY 118-114  1       2-2(H:2-1)       LWLW       W1        2-2(H:2-1)       4-2(A:2-2)     LWWWWL        4-2(A:2-2)      L-1   KEN:1-1(H:1-1)  KEN:1-1    KEN:W1       KEN:1-1(H:1-1) 
  25   RS     Inter  CRO  HAR  92-101  0       3-4(H:2-2)    WLWLLWL       L1        0-1(H:0-1)       4-4(A:2-3)   WWLLLLWW        1-0(A:1-0)      W-1   HAR:1-0(H:0-0)  HAR:1-0    HAR:W1       HAR:1-0(H:0-0) 
  26   RS     Inter  LAT  QUE  105-96  0       3-3(H:3-1)     WLLLWW       W2        1-0(H:1-0)       2-4(A:1-2)     WLLWLL        0-1(A:0-1)      L-2   LAT:1-0(H:1-0)  LAT:1-0    LAT:W1       LAT:1-0(H:1-0) 
  27   RS     Inter  WIL  KEN  113-79  0       4-2(H:3-1)     WWLWLW       W1        1-0(H:1-0)       2-3(A:0-2)      LWLWL        0-1(A:0-1)      L-1   WIL:1-0(H:1-0)  WIL:1-0    WIL:W1       WIL:1-0(H:1-0) 
  28   RS     Inter  RAY  QUE  119-97  0       5-2(H:3-0)    LWWWWLW       W1        1-0(H:1-0)       2-5(A:1-3)    WLLWLLL        0-2(A:0-2)      L-1   RAY:1-0(H:1-0)  RAY:1-0    RAY:W1       RAY:1-0(H:1-0) 
  29   RS     Inter  BRE  LAT  109-87  0       5-4(H:3-1)  LLWLWWWLW       W1        1-0(H:1-0)       3-4(A:0-3)    WLLLWWL        1-1(A:0-1)      L-1   BRE:1-0(H:1-0)  BRE:1-0    BRE:W1       BRE:1-0(H:1-0) 
  30   RS     Inter  HAR  BRE   91-77  0       5-4(H:3-1)  WWLLLLWWW       W3        2-0(H:1-0)       5-5(A:2-4) LLWLWWWLWL        1-1(A:0-1)      L-3   HAR:1-0(H:1-0)  HAR:1-0    HAR:W1       HAR:1-0(H:1-0) 
  31   RS     Inter  QUE  HAR   90-96  0       2-6(H:1-3)   WLLWLLLL       L4        0-3(H:0-1)       6-4(A:3-3) WWLLLLWWWW        3-0(A:2-0)      W-4   HAR:1-0(H:0-0)  HAR:1-0    HAR:W1       HAR:1-0(H:0-0) 
  32   RS     Inter  KEN  WIL  91-108  0       2-4(H:2-2)     LWLWLL       L2        0-2(H:0-1)       5-2(A:2-1)    WWLWLWW        2-0(A:1-0)      W-2   WIL:2-0(H:1-0)  WIL:2-0    WIL:W2       WIL:2-0(H:1-0) 
  33   RS     Inter  CRO  LAT   99-76  0       4-4(H:3-2)   WLWLLWLW       W1        1-1(H:1-1)       3-5(A:0-4)   WLLLWWLL        1-2(A:0-2)      L-1   CRO:1-0(H:1-0)  CRO:1-0    CRO:W1       CRO:1-0(H:1-0) 
  34   RS     Inter  LAT  BRE 100-102  0       3-6(H:3-2)  WLLLWWLLL       L3        1-3(H:1-1)       6-5(A:3-4) LWLWWWLWLW        2-1(A:1-1)      W-3   BRE:2-0(H:1-0)  BRE:2-0    BRE:W2       BRE:2-0(H:1-0) 
  35   RS     Inter  WIL  RAY   95-70  0       6-2(H:4-1)   WWLWLWWW       W3        3-0(H:2-0)       5-3(A:2-3)   LWWWWLWL        1-1(A:0-1)      L-3   WIL:1-0(H:1-0)  WIL:1-0    WIL:W1       WIL:1-0(H:1-0) 
  36   RS     Inter  RAY  WIL  111-94  0       6-3(H:4-0)  LWWWWLWLW       W1        2-1(H:2-0)       6-3(A:2-2)  WWLWLWWWL        3-1(A:1-1)      L-1   RAY:1-1(H:1-0)  RAY:1-1    RAY:W1       RAY:1-1(H:1-0) 
  37   RS     Inter  BRE  RAY  86-111  0       6-6(H:3-2) WLWWWLWLWL       L1        2-2(H:1-1)       7-3(A:3-3) LWWWWLWLWW        3-1(A:1-1)      W-1   RAY:1-0(H:0-0)  RAY:1-0    RAY:W1       RAY:1-0(H:0-0) 
