Player Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   Kj6    5   RS vCRO   W(94-70)  0  0   600   0   3   0   2   0   1   0   0   0   0   0   1   0   1  1  1  2   1  0  0   0   0   0  -4  14  18   10    7   0   0   0   0  A
   Dg5    5   RS vCRO   W(94-70)  0  1  1800   3   8   2   6   1   2   7   9   0   0   0   3   2   3  1  3  4   3  2  3  14   0   0  28  80  52   19    8   1   1   0   3  A
   Gc8    5   RS vCRO   W(94-70)  0  0   919   3  10   3  10   0   0   2   2   0   0   2   8   1   2  2  5  7   0  1  1   8   6   2  -8  20  28   12    1   1   0   1   0  A
   Ha2    5   RS vCRO   W(94-70)  0  1  1481   9  12   9  12   0   0   2   2   1   1   7   8   2   4  2 12 14   0  2  1  20  16   6  32  74  42   13    0   2   0   1   0  A
   Ea5    5   RS vCRO   W(94-70)  0  1  1800   8  14   8  14   0   0   0   0   0   0   8  14   0   0  2  4  6   1  0  0  16  16   4  28  80  52   15    1   0   0   0   0  A
   Jj5    5   RS vCRO   W(94-70)  0  1  1800   2   3   1   2   1   1   0   0   0   0   0   0   1   2  2  2  4  17  2  0   5   0   0  28  80  52   34   31   1   1   0   0  A
  Cc10    5   RS vCRO   W(94-70)  0  0   600   1   4   1   4   0   0   0   0   0   0   1   4   0   0  0  6  6   1  1  0   2   2   0  -4  14  18    5    1   1   0   0   0  A
   Kj6    7   RS @QUE  L(96-102)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Dg5    7   RS @QUE  L(96-102)  0  1  1574   6  14   4   8   2   6   3   5   0   0   2   5   2   3  0  2  2   6  2  2  17   4   2  -8  63  71   26   10   1   1   0   2  A
   Gc8    7   RS @QUE  L(96-102)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
  Cc10    7   RS @QUE  L(96-102)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
   Kg3    7   RS @QUE  L(96-102)  0  0     0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  0  0  0   0  0  0   0   0   0   0   0   0    0    0   0   0   0   0  A
